0,7.2,3.2,6.0,1.8,Iris-virginica,Iris-virginica
1,6.3,3.3,4.7,1.6,Iris-versicolor,Iris-versicolor
2,6.3,3.3,6.0,2.5,Iris-virginica,Iris-virginica
3,5.0,3.5,1.3,0.3,Iris-setosa,Iris-setosa
4,5.9,3.0,5.1,1.8,Iris-virginica,Iris-versicolor
5,4.6,3.6,1.0,0.2,Iris-setosa,Iris-setosa
6,5.1,3.8,1.6,0.2,Iris-setosa,Iris-setosa
7,6.8,3.0,5.5,2.1,Iris-virginica,Iris-virginica
8,4.9,3.0,1.4,0.2,Iris-setosa,Iris-setosa
9,6.0,2.2,4.0,1.0,Iris-versicolor,Iris-versicolor
10,6.6,3.0,4.4,1.4,Iris-versicolor,Iris-versicolor
11,4.9,2.4,3.3,1.0,Iris-versicolor,Iris-versicolor
12,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
13,7.7,2.6,6.9,2.3,Iris-virginica,Iris-virginica
14,6.0,2.2,5.0,1.5,Iris-virginica,Iris-versicolor
15,5.8,2.7,3.9,1.2,Iris-versicolor,Iris-versicolor
16,5.5,2.5,4.0,1.3,Iris-versicolor,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa,Iris-setosa
18,6.0,3.0,4.8,1.8,Iris-virginica,Iris-versicolor
19,6.9,3.2,5.7,2.3,Iris-virginica,Iris-virginica
20,6.4,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
21,6.8,2.8,4.8,1.4,Iris-versicolor,Iris-versicolor
22,5.2,4.1,1.5,0.1,Iris-setosa,Iris-setosa
23,6.5,3.0,5.5,1.8,Iris-virginica,Iris-virginica
24,5.8,2.8,5.1,2.4,Iris-virginica,Iris-virginica
25,6.1,2.9,4.7,1.4,Iris-versicolor,Iris-versicolor
26,5.5,2.4,3.7,1.0,Iris-versicolor,Iris-versicolor
27,4.7,3.2,1.3,0.2,Iris-setosa,Iris-setosa
28,5.1,3.5,1.4,0.2,Iris-setosa,Iris-setosa
29,7.7,2.8,6.7,2.0,Iris-virginica,Iris-virginica
30,5.6,3.0,4.1,1.3,Iris-versicolor,Iris-versicolor
31,4.8,3.0,1.4,0.3,Iris-setosa,Iris-setosa
32,5.5,2.6,4.4,1.2,Iris-versicolor,Iris-versicolor
33,4.8,3.1,1.6,0.2,Iris-setosa,Iris-setosa
34,5.4,3.7,1.5,0.2,Iris-setosa,Iris-setosa
35,6.0,2.7,5.1,1.6,Iris-versicolor,Iris-versicolor
36,4.3,3.0,1.1,0.1,Iris-setosa,Iris-setosa
37,6.7,2.5,5.8,1.8,Iris-virginica,Iris-virginica
38,4.9,2.5,4.5,1.7,Iris-virginica,Iris-versicolor
39,5.5,2.3,4.0,1.3,Iris-versicolor,Iris-versicolor
40,5.7,2.6,3.5,1.0,Iris-versicolor,Iris-versicolor
41,6.1,2.8,4.0,1.3,Iris-versicolor,Iris-versicolor
42,5.7,2.8,4.1,1.3,Iris-versicolor,Iris-versicolor
43,5.2,2.7,3.9,1.4,Iris-versicolor,Iris-versicolor
44,5.1,3.8,1.5,0.3,Iris-setosa,Iris-setosa
45,5.7,2.5,5.0,2.0,Iris-virginica,Iris-versicolor
46,6.7,3.0,5.2,2.3,Iris-virginica,Iris-virginica
47,6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
48,6.7,3.3,5.7,2.1,Iris-virginica,Iris-virginica
49,4.7,3.2,1.6,0.2,Iris-setosa,Iris-setosa
50,6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
51,7.7,3.0,6.1,2.3,Iris-virginica,Iris-virginica
52,6.3,2.7,4.9,1.8,Iris-virginica,Iris-versicolor
53,5.5,3.5,1.3,0.2,Iris-setosa,Iris-setosa
54,6.2,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
55,5.1,3.8,1.9,0.4,Iris-setosa,Iris-setosa
56,6.5,2.8,4.6,1.5,Iris-versicolor,Iris-versicolor
57,5.1,2.5,3.0,1.1,Iris-versicolor,Iris-versicolor
58,5.6,2.7,4.2,1.3,Iris-versicolor,Iris-versicolor
59,5.0,3.6,1.4,0.2,Iris-setosa,Iris-setosa
60,7.2,3.6,6.1,2.5,Iris-virginica,Iris-virginica
61,6.4,2.8,5.6,2.1,Iris-virginica,Iris-virginica
62,5.8,2.7,5.1,1.9,Iris-virginica,Iris-versicolor
63,4.4,2.9,1.4,0.2,Iris-setosa,Iris-setosa
64,6.1,3.0,4.6,1.4,Iris-versicolor,Iris-versicolor
65,4.4,3.0,1.3,0.2,Iris-setosa,Iris-setosa
66,5.9,3.2,4.8,1.8,Iris-versicolor,Iris-versicolor
67,7.7,3.8,6.7,2.2,Iris-virginica,Iris-virginica
68,4.6,3.4,1.4,0.3,Iris-setosa,Iris-setosa
69,5.0,2.3,3.3,1.0,Iris-versicolor,Iris-versicolor
70,4.6,3.2,1.4,0.2,Iris-setosa,Iris-setosa
71,6.1,3.0,4.9,1.8,Iris-virginica,Iris-versicolor
72,5.5,2.4,3.8,1.1,Iris-versicolor,Iris-versicolor
73,6.4,3.2,5.3,2.3,Iris-virginica,Iris-virginica
74,6.4,2.8,5.6,2.2,Iris-virginica,Iris-virginica
75,5.9,3.0,4.2,1.5,Iris-versicolor,Iris-versicolor
76,7.9,3.8,6.4,2.0,Iris-virginica,Iris-virginica
77,5.2,3.4,1.4,0.2,Iris-setosa,Iris-setosa
78,5.0,3.0,1.6,0.2,Iris-setosa,Iris-setosa
79,6.8,3.2,5.9,2.3,Iris-virginica,Iris-virginica
80,5.1,3.7,1.5,0.4,Iris-setosa,Iris-setosa
81,5.8,2.6,4.0,1.2,Iris-versicolor,Iris-versicolor
82,5.8,4.0,1.2,0.2,Iris-setosa,Iris-setosa
83,6.3,2.5,4.9,1.5,Iris-versicolor,Iris-versicolor
84,7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
85,6.0,3.4,4.5,1.6,Iris-versicolor,Iris-versicolor
86,6.3,3.4,5.6,2.4,Iris-virginica,Iris-virginica
87,5.7,3.8,1.7,0.3,Iris-setosa,Iris-setosa
88,5.0,2.0,3.5,1.0,Iris-versicolor,Iris-versicolor
89,6.9,3.1,4.9,1.5,Iris-versicolor,Iris-virginica
90,6.1,2.6,5.6,1.4,Iris-virginica,Iris-virginica
91,5.6,2.5,3.9,1.1,Iris-versicolor,Iris-versicolor
92,7.6,3.0,6.6,2.1,Iris-virginica,Iris-virginica
93,5.7,2.9,4.2,1.3,Iris-versicolor,Iris-versicolor
94,6.7,3.1,4.7,1.5,Iris-versicolor,Iris-versicolor
95,6.5,3.0,5.2,2.0,Iris-virginica,Iris-virginica
96,5.4,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
97,7.0,3.2,4.7,1.4,Iris-versicolor,Iris-virginica
98,7.1,3.0,5.9,2.1,Iris-virginica,Iris-virginica
99,5.0,3.3,1.4,0.2,Iris-setosa,Iris-setosa
100,6.2,2.2,4.5,1.5,Iris-versicolor,Iris-versicolor
101,4.8,3.0,1.4,0.1,Iris-setosa,Iris-setosa
102,6.7,3.1,4.4,1.4,Iris-versicolor,Iris-versicolor
103,6.5,3.2,5.1,2.0,Iris-virginica,Iris-virginica
104,5.6,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
105,5.6,2.8,4.9,2.0,Iris-virginica,Iris-versicolor
106,5.7,3.0,4.2,1.2,Iris-versicolor,Iris-versicolor
107,6.3,2.5,5.0,1.9,Iris-virginica,Iris-versicolor
108,5.1,3.3,1.7,0.5,Iris-setosa,Iris-setosa
109,5.1,3.4,1.5,0.2,Iris-setosa,Iris-setosa
110,4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
111,6.3,2.8,5.1,1.5,Iris-virginica,Iris-versicolor
112,6.2,3.4,5.4,2.3,Iris-virginica,Iris-virginica
113,5.6,2.9,3.6,1.3,Iris-versicolor,Iris-versicolor
114,6.7,3.1,5.6,2.4,Iris-virginica,Iris-virginica
115,6.6,2.9,4.6,1.3,Iris-versicolor,Iris-versicolor
116,5.4,3.4,1.7,0.2,Iris-setosa,Iris-setosa
117,5.0,3.5,1.6,0.6,Iris-setosa,Iris-setosa
118,5.7,4.4,1.5,0.4,Iris-setosa,Iris-setosa
119,5.8,2.7,5.1,1.9,Iris-virginica,Iris-versicolor
120,6.1,2.8,4.7,1.2,Iris-versicolor,Iris-versicolor
121,5.7,2.8,4.5,1.3,Iris-versicolor,Iris-versicolor
122,6.9,3.1,5.4,2.1,Iris-virginica,Iris-virginica
123,5.4,3.4,1.5,0.4,Iris-setosa,Iris-setosa
124,5.3,3.7,1.5,0.2,Iris-setosa,Iris-setosa
125,4.5,2.3,1.3,0.3,Iris-setosa,Iris-setosa
126,6.2,2.8,4.8,1.8,Iris-virginica,Iris-versicolor
127,5.8,2.7,4.1,1.0,Iris-versicolor,Iris-versicolor
128,5.0,3.4,1.6,0.4,Iris-setosa,Iris-setosa
129,4.6,3.1,1.5,0.2,Iris-setosa,Iris-setosa
